UNIQUE_ID,COUNTYFP,County,Precinct,G24A1NO,G24A1YES,G24A2NO,G24A2YES,G24RFANO,G24RFAYES,G24PREDHAR,G24PREGSTE,G24PREICRU,G24PREIWES,G24PRELOLI,G24PRERTRU,GCON01DHEW,GCON01RCAR,GCON02DBIS,GCON02RJOH,GCON03DKEL,GCON03RJAC,GCON04DJOH,GCON04RYU,GCON05DWIL,GCON05RSAL,GCON06DMCB,GCON06RCRI,GCON07DCHR,GCON07RMCC,GCON08DBUT,GCON08RSCO,GCON09DCAS,GCON09RCLY,GCON10DDOH,GCON10RCOL,GCON11DSTA,GCON11RLOU,GCON12DJOH,GCON12RALL,GCON13DSCO,GCON13RCHA,GCON14DHAR,GCON14RGRE,GSU01RWAT,GSU02DMAL,GSU03RHOD,GSU04RHIC,GSU05DRAH,GSU05RBAB,GSU06DEND,GSU06RBRA,GSU07DPAR,GSU07RHOW,GSU08RGOO,GSU09DMER,GSU09RGAR,GSU10DJON,GSU10RSTA,GSU11RWAT,GSU12DSIM,GSU13RSUM,GSU14DMCL,GSU15DHAR,GSU16DBLA,GSU16RHAR,GSU17DDAV,GSU18RKEN,GSU19RTIL,GSU20RWAL,GSU21DLIO,GSU21RBEA,GSU22DJON,GSU23DBOS,GSU23RBUR,GSU24RAND,GSU25RWIL,GSU26DLUC,GSU27DNAZ,GSU27RDOL,GSU28DJAM,GSU29DWRI,GSU29RROB,GSU30DCOO,GSU30RBEA,GSU31RANA,GSU32RKIR,GSU33DRHE,GSU34DWIC,GSU34RHON,GSU35DEST,GSU36DORR,GSU37DPAR,GSU37RSET,GSU38DKEM,GSU39DHAL,GSU40DHAR,GSU40RSIA,GSU41DJAC,GSU41RNEW,GSU42DMOR,GSU42RSTR,GSU43DAND,GSU44DPAR,GSU45RDIX,GSU46DFEN,GSU46RCOW,GSU47DSCO,GSU47RGIN,GSU48DRAM,GSU48RSTI,GSU49RECH,GSU50DKRI,GSU50RHAT,GSU51RGOO,GSU52RHUF,GSU53DBRY,GSU53RMOO,GSU54RPAY,GSU55DMAN,GSU55RBEN,GSU56DJOR,GSU56RALB,GSL001DZIB,GSL001RCAM,GSL002RTAR,GSL003RHOR,GSL004RCAR,GSL005RBAR,GSL006DKOT,GSL006RRID,GSL007RCHA,GSL008DSLE,GSL008RGUN,GSL009RWAD,GSL010DWIL,GSL010RAND,GSL011DHOL,GSL011RJAS,GSL012DJOH,GSL012RLUM,GSL013DARO,GSL013RDEM,GSL014RSCO,GSL015RGAM,GSL016RKEL,GSL017RMOM,GSL018RSMI,GSL019DCOY,GSL019RGUL,GSL020RBYR,GSL021DSIM,GSL021RTHO,GSL022DSHA,GSL022RRID,GSL023RBAL,GSL024DDUG,GSL024RBAR,GSL025DPAD,GSL025RJON,GSL026DBAI,GSL026RMCD,GSL027RHAW,GSL028DHEN,GSL028RCOX,GSL029RDUB,GSL030DFLO,GSL030RMCC,GSL031RDUN,GSL032RERW,GSL033RPOW,GSL034DGAL,GSL034RSEA,GSL035DCAM,GSL035RCHA,GSL036REHR,GSL037DWIL,GSL037RTAY,GSL038DWIL,GSL039DCUM,GSL040DEDW,GSL040RNEW,GSL041DSMI,GSL041RSMI,GSL042DSAN,GSL042RJAC,GSL043DADE,GSL044DBEL,GSL044RPAR,GSL045DCAS,GSL045RCOO,GSL046DGAR,GSL046RCAR,GSL047DSHI,GSL047RJON,GSL048DMUR,GSL048RHIL,GSL049DDEM,GSL049RMAR,GSL050DAU,GSL050RRED,GSL051DPAN,GSL051RGET,GSL052DROB,GSL052RMCN,GSL053DGRE,GSL053RSIL,GSL054DHOL,GSL054RPAR,GSL055DWIL,GSL055RLEN,GSL056DBER,GSL056RMAI,GSL057DEVA,GSL057RALL,GSL058DCAN,GSL059DOLA,GSL059RMPA,GSL060DJON,GSL060RHEN,GSL061DMCQ,GSL062DMIL,GSL063DSCH,GSL064DBAK,GSL064RBUR,GSL065DDAW,GSL066DALE,GSL067DGLA,GSL067RHAM,GSL068DJAC,GSL069DBAZ,GSL070DBOU,GSL070RSMI,GSL071DHUD,GSL071RHOW,GSL072DMOO,GSL072RHUD,GSL073DTHO,GSL073RBON,GSL074DFLO,GSL075DBEL,GSL076DSCO,GSL077DBUR,GSL078DDOU,GSL079DNEA,GSL080DTRA,GSL080RAND,GSL081DWHI,GSL081RKAH,GSL082DDIC,GSL082RMAT,GSL083DLUP,GSL083RBER,GSL084DOLI,GSL085DDRE,GSL086DBAR,GSL086RZIS,GSL087DDAV,GSL088DMIT,GSL088RFRE,GSL089DCRA,GSL090DDRA,GSL091DMOO,GSL092DTAY,GSL093DCAR,GSL094DBEN,GSL095DKEN,GSL096DBEC,GSL097DROM,GSL097RCOR,GSL098DLIM,GSL099DKAN,GSL099RREE,GSL100DAMB,GSL100RCLA,GSL101DHOL,GSL101RBIE,GSL102DOKO,GSL102RSTA,GSL103DLUC,GSL103RHON,GSL104REFS,GSL105DMUG,GSL105RDON,GSL106DHUT,GSL107DPAR,GSL107RCAO,GSL108DCLA,GSL108RDAV,GSL109DMCC,GSL110DADE,GSL110RLOL,GSL111DJAC,GSL111RMAR,GSL112RWIL,GSL113DHEN,GSL114RFLE,GSL115DLEW,GSL116DHOL,GSL116RSTE,GSL117DSAN,GSL118DBEL,GSL118RCRO,GSL119RPER,GSL120DFER,GSL120RGAI,GSL121DGIS,GSL121RWIE,GSL122DFRY,GSL123DBEA,GSL123RLEV,GSL124DMIL,GSL124RRHO,GSL125DTUR,GSL125RRIC,GSL126DMYL,GSL126RHAR,GSL127RNEW,GSL128DJAC,GSL128RWHE,GSL129DHOW,GSL130DGLA,GSL131DWHI,GSL131RCLI,GSL132DPRI,GSL133RMAT,GSL134RDIC,GSL135RCAM,GSL136DLOW,GSL136RJEN,GSL137DBUC,GSL137RACO,GSL138RSMI,GSL139DSPR,GSL139RRIC,GSL140DREE,GSL141DHUG,GSL142DPAR,GSL142RPAL,GSL143DJON,GSL143RBOY,GSL144DHYL,GSL144RWAS,GSL145DHER,GSL145RHAR,GSL146RBLA,GSL147DPHI,GSL147RBAL,GSL148RWIL,GSL149DGRI,GSL149RVAN,GSL150DSTI,GSL150RMOO,GSL151RCHE,GSL152RYEA,GSL153DSAM,GSL153RBAT,GSL154RGRE,GSL155RHAT,GSL156RHAG,GSL157RWER,GSL158DSMI,GSL158RPAR,GSL159RBUR,GSL160RFRA,GSL161RHIT,GSL162DGIL,GSL162RPAD,GSL163DWES,GSL164RSTE,GSL165DJAC,GSL166DFOR,GSL166RPET,GSL167DMOO,GSL167RDEL,GSL168DWIL,GSL169DREW,GSL169ROST,GSL170RFOR,GSL171RCAM,GSL172RCAN,GSL173DTHO,GSL173RTAY,GSL174RCOR,GSL175DWIS,GSL175RLAH,GSL176RBUR,GSL177DSHA,GSL177RGRI,GSL178RMEE,GSL179RTOW,GSL180DDAN,GSL180RSAI
Appling-:-1B,1,Appling,1B,400,515,553,356,452,484,108,0,0,0,2,921,97,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appling-:-1C,1,Appling,1C,324,400,428,284,356,380,67,0,0,0,0,724,59,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0
Appling-:-2,1,Appling,2,487,669,626,516,668,507,782,3,0,0,1,541,656,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appling-:-3A1,1,Appling,3A1,240,351,344,238,271,331,31,0,0,0,0,617,19,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appling-:-3C,1,Appling,3C,439,596,577,444,509,555,246,0,0,0,3,934,211,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
Appling-:-4B,1,Appling,4B,311,361,434,231,311,371,25,0,0,0,0,720,20,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0
Appling-:-4D,1,Appling,4D,466,523,582,391,451,551,117,0,0,0,2,950,101,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0
Appling-:-5A,1,Appling,5A,345,377,425,298,357,385,102,0,0,0,0,711,88,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appling-:-5B,1,Appling,5B,291,371,373,275,309,363,82,2,0,0,0,643,64,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0
Atkinson-:-Axson,3,Atkinson,Axson,169,291,235,224,193,275,40,0,0,0,2,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0
