ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
APPLING-:-1B,1003,95,760,855,850,43,676,719,59,45,14,59,14,2,8,10,2,0,2,2,78,5,60,65,0.111111111111111,0.888888888888889,0.84093567251462,0.0598052851182197,0.94019471488178,0.0690058479532164,0.76271186440678,0.23728813559322,0.0116959064327485,0.2,0.8,0.00233918128654971,0,1,0.0760233918128655,0.0769230769230769,0.923076923076923,1
APPLING-:-1C,742,73,549,622,621,26,495,521,50,42,8,50,21,1,8,9,1,0,0,0,49,4,38,42,0.117363344051447,0.882636655948553,0.837620578778135,0.0499040307101727,0.950095969289827,0.0803858520900322,0.84,0.16,0.0144694533762058,0.111111111111111,0.888888888888889,0,0,0,0.067524115755627,0.0952380952380952,0.904761904761905,1
APPLING-:-2,1452,734,538,1272,602,60,402,462,734,654,80,734,52,10,12,22,2,0,2,2,62,10,42,52,0.577044025157233,0.422955974842767,0.363207547169811,0.12987012987013,0.87012987012987,0.577044025157233,0.891008174386921,0.108991825613079,0.0172955974842767,0.454545454545455,0.545454545454545,0.00157232704402516,0,1,0.0408805031446541,0.192307692307692,0.807692307692308,1
APPLING-:-3A1,607,19,506,525,546,15,457,472,3,3,0,3,11,0,10,10,0,0,0,0,47,1,39,40,0.0361904761904762,0.963809523809524,0.899047619047619,0.0317796610169492,0.968220338983051,0.00571428571428571,1,0,0.0190476190476191,0,1,0,0,0,0.0761904761904762,0.025,0.975,1
APPLING-:-3C,1142,194,785,979,833,42,662,704,175,145,30,175,35,3,12,15,5,2,3,5,94,2,78,80,0.198161389172625,0.801838610827375,0.719101123595506,0.0596590909090909,0.940340909090909,0.178753830439224,0.828571428571429,0.171428571428571,0.0153217568947906,0.2,0.8,0.00510725229826353,0.4,0.6,0.0817160367722166,0.025,0.975,1
APPLING-:-4B,705,22,578,600,621,17,513,530,5,5,0,5,11,0,7,7,1,0,1,1,67,0,57,57,0.0366666666666667,0.963333333333333,0.883333333333333,0.0320754716981132,0.967924528301887,0.00833333333333333,1,0,0.0116666666666667,0,1,0.00166666666666667,0,1,0.095,0,1,1
APPLING-:-4D,1051,86,834,920,869,31,743,774,55,46,9,55,28,5,6,11,15,1,4,5,84,3,72,75,0.0934782608695652,0.906521739130435,0.841304347826087,0.0400516795865633,0.959948320413437,0.0597826086956522,0.836363636363636,0.163636363636364,0.0119565217391304,0.454545454545455,0.545454545454545,0.00543478260869565,0.2,0.8,0.0815217391304348,0.04,0.96,1
APPLING-:-5A,827,98,564,662,653,33,494,527,61,56,5,61,39,6,12,18,4,0,3,3,70,3,50,53,0.148036253776435,0.851963746223565,0.79607250755287,0.062618595825427,0.937381404174573,0.0921450151057402,0.918032786885246,0.0819672131147541,0.027190332326284,0.333333333333333,0.666666666666667,0.00453172205438067,0,1,0.0800604229607251,0.0566037735849057,0.943396226415094,1
APPLING-:-5B,684,59,494,553,557,29,424,453,24,21,3,24,33,4,12,16,5,0,4,4,65,5,51,56,0.106690777576854,0.893309222423147,0.819168173598553,0.0640176600441501,0.93598233995585,0.0433996383363472,0.875,0.125,0.0289330922242315,0.25,0.75,0.00723327305605787,0,1,0.10126582278481,0.0892857142857143,0.910714285714286,1
ATKINSON-:-AXSON,485,54,323,377,376,32,260,292,12,10,2,12,36,8,8,16,4,0,4,4,57,4,49,53,0.143236074270557,0.856763925729443,0.774535809018568,0.10958904109589,0.89041095890411,0.0318302387267905,0.833333333333333,0.166666666666667,0.0424403183023873,0.5,0.5,0.0106100795755968,0,1,0.140583554376658,0.0754716981132075,0.924528301886793,8
