ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
APPLING-:-1B,1003,95,760,855,850,43,676,719,59,45,14,59,14,2,8,10,2,0,2,2,78,5,60,65,0.094715852442672,0.757726819541376,0.847457627118644,0.0505882352941177,0.795294117647059,0.0588235294117647,0.76271186440678,0.23728813559322,0.0139581256231306,0.142857142857143,0.571428571428571,0.00199401794616152,0,1,0.0777666999002991,0.0641025641025641,0.769230769230769,1
APPLING-:-1C,742,73,549,622,621,26,495,521,50,42,8,50,21,1,8,9,1,0,0,0,49,4,38,42,0.0983827493261456,0.73989218328841,0.836927223719677,0.0418679549114332,0.797101449275362,0.0673854447439353,0.84,0.16,0.0283018867924528,0.0476190476190476,0.380952380952381,0.00134770889487871,0,0,0.0660377358490566,0.0816326530612245,0.775510204081633,1
APPLING-:-2,1452,734,538,1272,602,60,402,462,734,654,80,734,52,10,12,22,2,0,2,2,62,10,42,52,0.505509641873278,0.370523415977961,0.414600550964187,0.0996677740863787,0.667774086378738,0.505509641873278,0.891008174386921,0.108991825613079,0.0358126721763085,0.192307692307692,0.230769230769231,0.00137741046831956,0,1,0.0426997245179063,0.161290322580645,0.67741935483871,1
APPLING-:-3A1,607,19,506,525,546,15,457,472,3,3,0,3,11,0,10,10,0,0,0,0,47,1,39,40,0.0313014827018122,0.833607907742998,0.899505766062603,0.0274725274725275,0.836996336996337,0.00494233937397035,1,0,0.0181219110378913,0,0.909090909090909,0,0,0,0.0774299835255354,0.0212765957446809,0.829787234042553,1
APPLING-:-3C,1142,194,785,979,833,42,662,704,175,145,30,175,35,3,12,15,5,2,3,5,94,2,78,80,0.169877408056042,0.68739054290718,0.729422066549913,0.0504201680672269,0.794717887154862,0.153239929947461,0.828571428571429,0.171428571428571,0.0306479859894921,0.0857142857142857,0.342857142857143,0.00437828371278459,0.4,0.6,0.0823117338003503,0.0212765957446809,0.829787234042553,1
APPLING-:-4B,705,22,578,600,621,17,513,530,5,5,0,5,11,0,7,7,1,0,1,1,67,0,57,57,0.0312056737588652,0.819858156028369,0.880851063829787,0.0273752012882448,0.826086956521739,0.00709219858156028,1,0,0.0156028368794326,0,0.636363636363636,0.00141843971631206,0,1,0.0950354609929078,0,0.850746268656716,1
APPLING-:-4D,1051,86,834,920,869,31,743,774,55,46,9,55,28,5,6,11,15,1,4,5,84,3,72,75,0.0818268315889629,0.793529971455756,0.826831588962892,0.0356731875719218,0.855005753739931,0.0523311132254995,0.836363636363636,0.163636363636364,0.0266412940057089,0.178571428571429,0.214285714285714,0.0142721217887726,0.0666666666666667,0.266666666666667,0.0799238820171266,0.0357142857142857,0.857142857142857,1
APPLING-:-5A,827,98,564,662,653,33,494,527,61,56,5,61,39,6,12,18,4,0,3,3,70,3,50,53,0.118500604594921,0.681983071342201,0.789600967351874,0.0505359877488515,0.756508422664625,0.0737605804111245,0.918032786885246,0.0819672131147541,0.0471584038694075,0.153846153846154,0.307692307692308,0.00483675937122128,0,0.75,0.0846432889963724,0.0428571428571429,0.714285714285714,1
APPLING-:-5B,684,59,494,553,557,29,424,453,24,21,3,24,33,4,12,16,5,0,4,4,65,5,51,56,0.0862573099415205,0.722222222222222,0.814327485380117,0.052064631956912,0.761220825852783,0.0350877192982456,0.875,0.125,0.0482456140350877,0.121212121212121,0.363636363636364,0.00730994152046784,0,0.8,0.0950292397660819,0.0769230769230769,0.784615384615385,1
ATKINSON-:-AXSON,485,54,323,377,376,32,260,292,12,10,2,12,36,8,8,16,4,0,4,4,57,4,49,53,0.111340206185567,0.665979381443299,0.775257731958763,0.0851063829787234,0.691489361702128,0.0247422680412371,0.833333333333333,0.166666666666667,0.0742268041237113,0.222222222222222,0.222222222222222,0.00824742268041237,0,1,0.117525773195876,0.0701754385964912,0.859649122807018,8
ATKINSON-:-PEARSON CITY,420,218,119,337,157,31,84,115,193,180,13,193,50,7,7,14,0,0,0,0,20,0,15,15,0.519047619047619,0.283333333333333,0.373809523809524,0.197452229299363,0.535031847133758,0.45952380952381,0.932642487046632,0.0673575129533679,0.119047619047619,0.14,0.14,0,0,0,0.0476190476190476,0,0.75,8
ATKINSON-:-PEARSON COUNTY,1248,212,728,940,996,124,656,780,63,60,3,63,105,18,20,38,6,2,2,4,78,8,47,55,0.169871794871795,0.583333333333333,0.798076923076923,0.124497991967871,0.65863453815261,0.0504807692307692,0.952380952380952,0.0476190476190476,0.0841346153846154,0.171428571428571,0.19047619047619,0.00480769230769231,0.333333333333333,0.333333333333333,0.0625,0.102564102564103,0.602564102564103,8
ATKINSON-:-WILLACOOCHEE,785,269,382,651,408,44,290,334,221,200,21,221,80,17,15,32,0,0,0,0,76,8,56,64,0.342675159235669,0.486624203821656,0.519745222929936,0.107843137254902,0.71078431372549,0.281528662420382,0.904977375565611,0.0950226244343891,0.101910828025478,0.2125,0.1875,0,0,0,0.0968152866242038,0.105263157894737,0.736842105263158,8
BACON-:-DOUGLAS,4762,567,3434,4001,3722,162,2940,3102,427,363,64,427,132,15,64,79,21,0,18,18,460,27,348,375,0.119067618647627,0.72112557748845,0.781604367912642,0.0435249865663622,0.789897904352499,0.0896682066358673,0.850117096018735,0.149882903981265,0.0277194456110878,0.113636363636364,0.484848484848485,0.00440991180176397,0,0.857142857142857,0.0965980680386392,0.058695652173913,0.756521739130435,1
BAKER-:-ANNA,234,198,25,223,103,74,19,93,108,105,3,108,6,4,1,5,1,0,1,1,16,15,1,16,0.846153846153846,0.106837606837607,0.44017094017094,0.718446601941748,0.184466019417476,0.461538461538462,0.972222222222222,0.0277777777777778,0.0256410256410256,0.666666666666667,0.166666666666667,0.00427350427350427,0,1,0.0683760683760684,0.9375,0.0625,2
BAKER-:-ELMODEL,313,242,38,280,176,114,34,148,116,113,3,116,4,3,0,3,1,1,0,1,16,11,1,12,0.773162939297125,0.121405750798722,0.562300319488818,0.647727272727273,0.193181818181818,0.370607028753994,0.974137931034483,0.0258620689655172,0.012779552715655,0.75,0,0.00319488817891374,1,0,0.0511182108626198,0.6875,0.0625,2
BAKER-:-HOGGARDS MILL,134,107,20,127,48,30,16,46,66,64,2,66,2,0,0,0,1,1,0,1,17,12,2,14,0.798507462686567,0.149253731343284,0.358208955223881,0.625,0.333333333333333,0.492537313432836,0.96969696969697,0.0303030303030303,0.0149253731343284,0,0,0.00746268656716418,1,0,0.126865671641791,0.705882352941177,0.117647058823529,2
BAKER-:-MILFORD,120,89,16,105,80,51,14,65,31,31,0,31,3,2,1,3,0,0,0,0,6,5,1,6,0.741666666666667,0.133333333333333,0.666666666666667,0.6375,0.175,0.258333333333333,1,0,0.025,0.666666666666667,0.333333333333333,0,0,0,0.05,0.833333333333333,0.166666666666667,2
