ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
19001-1NW ADAIR,781,122,399,521,654,99,336,435,0,0,0,0,15,3,6,9,9,2,5,7,103,18,52,70,0.234165067178503,0.765834932821497,0.834932821497121,0.227586206896552,0.772413793103448,0,0,0,0.017274472168906,0.333333333333333,0.666666666666667,0.0134357005758157,0.285714285714286,0.714285714285714,0.134357005758157,0.257142857142857,0.742857142857143,3
19001-2NE STUART,821,166,441,607,749,154,402,556,0,0,0,0,5,2,1,3,3,0,1,1,64,10,37,47,0.273476112026359,0.726523887973641,0.915980230642504,0.276978417266187,0.723021582733813,0,0,0,0.00494233937397035,0.666666666666667,0.333333333333333,0.00164744645799012,0,1,0.0774299835255354,0.212765957446809,0.787234042553192,3
19001-3SW FONTANELLE,839,108,466,574,723,93,405,498,0,0,0,0,10,2,4,6,6,1,4,5,100,12,53,65,0.18815331010453,0.81184668989547,0.867595818815331,0.186746987951807,0.813253012048193,0,0,0,0.0104529616724739,0.333333333333333,0.666666666666667,0.00871080139372822,0.2,0.8,0.113240418118467,0.184615384615385,0.815384615384615,3
19001-4SE ORIENT,811,150,417,567,688,121,369,490,0,0,0,0,5,2,0,2,4,0,4,4,114,27,44,71,0.264550264550265,0.735449735449736,0.864197530864198,0.246938775510204,0.753061224489796,0,0,0,0.00352733686067019,1,0,0.00705467372134039,0,1,0.125220458553792,0.380281690140845,0.619718309859155,3
19001-5GF GREENFIELD,746,147,365,512,667,131,328,459,0,0,0,0,7,1,2,3,3,2,1,3,69,13,34,47,0.287109375,0.712890625,0.896484375,0.285403050108932,0.714596949891068,0,0,0,0.005859375,0.333333333333333,0.666666666666667,0.005859375,0.666666666666667,0.333333333333333,0.091796875,0.276595744680851,0.723404255319149,3
19003-ADAMS 1,386,74,174,248,316,69,133,202,0,0,0,0,7,0,3,3,3,0,3,3,60,5,35,40,0.298387096774194,0.701612903225807,0.814516129032258,0.341584158415842,0.658415841584158,0,0,0,0.0120967741935484,0,1,0.0120967741935484,0,1,0.161290322580645,0.125,0.875,3
19003-ADAMS 2,403,77,204,281,360,68,181,249,0,0,0,0,4,1,2,3,2,0,1,1,37,8,20,28,0.274021352313167,0.725978647686833,0.886120996441281,0.273092369477912,0.726907630522088,0,0,0,0.0106761565836299,0.333333333333333,0.666666666666667,0.00355871886120996,0,1,0.099644128113879,0.285714285714286,0.714285714285714,3
19003-ADAMS 3,443,89,220,309,390,77,198,275,0,0,0,0,4,1,2,3,0,0,0,0,49,11,20,31,0.288025889967638,0.711974110032362,0.889967637540453,0.28,0.72,0,0,0,0.00970873786407767,0.333333333333333,0.666666666666667,0,0,0,0.100323624595469,0.354838709677419,0.645161290322581,3
19003-ADAMS 4,435,73,223,296,386,60,195,255,1,1,0,1,10,3,6,9,4,0,2,2,34,9,20,29,0.246621621621622,0.753378378378378,0.861486486486487,0.235294117647059,0.764705882352941,0.00337837837837838,1,0,0.0304054054054054,0.333333333333333,0.666666666666667,0.00675675675675676,0,1,0.097972972972973,0.310344827586207,0.689655172413793,3
19003-ADAMS 5,439,50,255,305,399,44,232,276,1,0,1,1,5,3,1,4,2,0,1,1,32,3,20,23,0.163934426229508,0.836065573770492,0.904918032786885,0.159420289855072,0.840579710144928,0.00327868852459016,0,1,0.0131147540983607,0.75,0.25,0.00327868852459016,0,1,0.0754098360655738,0.130434782608696,0.869565217391304,3
