ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
19001-1NW ADAIR,781,122,399,521,654,99,336,435,0,0,0,0,15,3,6,9,9,2,5,7,103,18,52,70,0.156209987195903,0.510883482714469,0.837387964148528,0.151376146788991,0.513761467889908,0,0,0,0.0192061459667093,0.2,0.4,0.0115236875800256,0.222222222222222,0.555555555555556,0.131882202304738,0.174757281553398,0.504854368932039,3
19001-2NE STUART,821,166,441,607,749,154,402,556,0,0,0,0,5,2,1,3,3,0,1,1,64,10,37,47,0.202192448233861,0.537149817295981,0.912302070645554,0.205607476635514,0.53671562082777,0,0,0,0.00609013398294762,0.4,0.2,0.00365408038976857,0,0.333333333333333,0.0779537149817296,0.15625,0.578125,3
19001-3SW FONTANELLE,839,108,466,574,723,93,405,498,0,0,0,0,10,2,4,6,6,1,4,5,100,12,53,65,0.128724672228844,0.555423122765197,0.861740166865316,0.128630705394191,0.560165975103734,0,0,0,0.0119189511323004,0.2,0.4,0.00715137067938021,0.166666666666667,0.666666666666667,0.119189511323004,0.12,0.53,3
19001-4SE ORIENT,811,150,417,567,688,121,369,490,0,0,0,0,5,2,0,2,4,0,4,4,114,27,44,71,0.184956843403206,0.514180024660913,0.848335388409371,0.175872093023256,0.536337209302326,0,0,0,0.0061652281134402,0.4,0,0.00493218249075216,0,1,0.140567200986437,0.236842105263158,0.385964912280702,3
19001-5GF GREENFIELD,746,147,365,512,667,131,328,459,0,0,0,0,7,1,2,3,3,2,1,3,69,13,34,47,0.197050938337802,0.489276139410188,0.894101876675603,0.19640179910045,0.491754122938531,0,0,0,0.00938337801608579,0.142857142857143,0.285714285714286,0.00402144772117963,0.666666666666667,0.333333333333333,0.0924932975871314,0.188405797101449,0.492753623188406,3
19003-ADAMS 1,386,74,174,248,316,69,133,202,0,0,0,0,7,0,3,3,3,0,3,3,60,5,35,40,0.191709844559585,0.450777202072539,0.818652849740933,0.218354430379747,0.420886075949367,0,0,0,0.0181347150259067,0,0.428571428571429,0.0077720207253886,0,1,0.155440414507772,0.0833333333333333,0.583333333333333,3
19003-ADAMS 2,403,77,204,281,360,68,181,249,0,0,0,0,4,1,2,3,2,0,1,1,37,8,20,28,0.19106699751861,0.506203473945409,0.893300248138958,0.188888888888889,0.502777777777778,0,0,0,0.00992555831265509,0.25,0.5,0.00496277915632754,0,0.5,0.0918114143920596,0.216216216216216,0.540540540540541,3
19003-ADAMS 3,443,89,220,309,390,77,198,275,0,0,0,0,4,1,2,3,0,0,0,0,49,11,20,31,0.200902934537246,0.496613995485327,0.880361173814898,0.197435897435897,0.507692307692308,0,0,0,0.0090293453724605,0.25,0.5,0,0,0,0.110609480812641,0.224489795918367,0.408163265306122,3
19003-ADAMS 4,435,73,223,296,386,60,195,255,1,1,0,1,10,3,6,9,4,0,2,2,34,9,20,29,0.167816091954023,0.51264367816092,0.88735632183908,0.155440414507772,0.505181347150259,0.00229885057471264,1,0,0.0229885057471264,0.3,0.6,0.00919540229885058,0,0.5,0.0781609195402299,0.264705882352941,0.588235294117647,3
19003-ADAMS 5,439,50,255,305,399,44,232,276,1,0,1,1,5,3,1,4,2,0,1,1,32,3,20,23,0.113895216400911,0.580865603644647,0.908883826879271,0.110275689223058,0.581453634085213,0.00227790432801822,0,1,0.0113895216400911,0.6,0.2,0.00455580865603645,0,0.5,0.0728929384965831,0.09375,0.625,3
19005-WL/HV,256,63,152,215,220,53,132,185,0,0,0,0,3,1,2,3,0,0,0,0,33,9,18,27,0.24609375,0.59375,0.859375,0.240909090909091,0.6,0,0,0,0.01171875,0.333333333333333,0.666666666666667,0,0,0,0.12890625,0.272727272727273,0.545454545454545,2
19005-UP/MK/FC/JF/LL,1390,217,890,1107,1165,192,744,936,0,0,0,0,9,1,5,6,2,1,1,2,214,23,140,163,0.156115107913669,0.640287769784173,0.838129496402878,0.16480686695279,0.63862660944206,0,0,0,0.00647482014388489,0.111111111111111,0.555555555555556,0.00143884892086331,0.5,0.5,0.153956834532374,0.107476635514019,0.654205607476636,2
19005-PO/FK/PV CITY,839,161,448,609,570,107,315,422,1,1,0,1,52,15,9,24,2,1,0,1,214,37,124,161,0.191895113230036,0.533969010727056,0.67938021454112,0.187719298245614,0.552631578947369,0.00119189511323004,1,0,0.0619785458879619,0.288461538461538,0.173076923076923,0.00238379022646007,0.5,0,0.255065554231228,0.172897196261682,0.579439252336449,2
19005-PC/LT/WV CITY,416,72,242,314,331,59,192,251,0,0,0,0,5,1,3,4,2,1,1,2,78,11,46,57,0.173076923076923,0.581730769230769,0.795673076923077,0.178247734138973,0.580060422960725,0,0,0,0.0120192307692308,0.2,0.6,0.00480769230769231,0.5,0.5,0.1875,0.141025641025641,0.58974358974359,2
19005-FV/TL/HF CITY,564,142,279,421,464,125,220,345,0,0,0,0,19,4,10,14,1,0,0,0,80,13,49,62,0.25177304964539,0.49468085106383,0.822695035460993,0.269396551724138,0.474137931034483,0,0,0,0.0336879432624114,0.210526315789474,0.526315789473684,0.00177304964539007,0,0,0.141843971631206,0.1625,0.6125,2
19005-LF/CN/LS/LS CITY,1244,329,570,899,1030,283,473,756,5,0,4,4,9,2,5,7,5,1,2,3,195,43,86,129,0.264469453376206,0.458199356913183,0.827974276527331,0.274757281553398,0.459223300970874,0.00401929260450161,0,0.8,0.00723472668810289,0.222222222222222,0.555555555555556,0.00401929260450161,0.2,0.4,0.156752411575563,0.220512820512821,0.441025641025641,2
19005-UC/IA/NA CITY,540,74,304,378,457,65,255,320,0,0,0,0,17,4,11,15,0,0,0,0,66,5,38,43,0.137037037037037,0.562962962962963,0.846296296296296,0.142231947483589,0.557986870897155,0,0,0,0.0314814814814815,0.235294117647059,0.647058823529412,0,0,0,0.122222222222222,0.0757575757575758,0.575757575757576,2
19005-WK 3 CITY,711,118,438,556,580,99,353,452,0,0,0,0,6,2,1,3,3,2,0,2,122,15,84,99,0.165963431786217,0.616033755274262,0.815752461322082,0.170689655172414,0.608620689655173,0,0,0,0.00843881856540084,0.333333333333333,0.166666666666667,0.00421940928270042,0.666666666666667,0,0.171589310829817,0.122950819672131,0.688524590163934,2
19005-WK 2 CITY,648,137,370,507,548,114,319,433,3,1,2,3,2,0,1,1,2,0,0,0,93,22,48,70,0.21141975308642,0.570987654320988,0.845679012345679,0.208029197080292,0.582116788321168,0.00462962962962963,0.333333333333333,0.666666666666667,0.00308641975308642,0,0.5,0.00308641975308642,0,0,0.143518518518519,0.236559139784946,0.516129032258065,2
19005-WK 1 CITY,664,125,391,516,542,105,319,424,0,0,0,0,11,2,7,9,0,0,0,0,111,18,65,83,0.188253012048193,0.588855421686747,0.816265060240964,0.193726937269373,0.588560885608856,0,0,0,0.016566265060241,0.181818181818182,0.636363636363636,0,0,0,0.167168674698795,0.162162162162162,0.585585585585586,2
19007-Union/Udell,378,56,215,271,320,49,181,230,1,0,1,1,2,1,1,2,0,0,0,0,55,6,32,38,0.148148148148148,0.568783068783069,0.846560846560847,0.153125,0.565625,0.00264550264550265,0,1,0.00529100529100529,0.5,0.5,0,0,0,0.145502645502646,0.109090909090909,0.581818181818182,3
19007-Washington Wells,486,83,277,360,419,67,248,315,0,0,0,0,2,0,2,2,0,0,0,0,65,16,27,43,0.170781893004115,0.569958847736626,0.862139917695473,0.159904534606205,0.591885441527446,0,0,0,0.00411522633744856,0,1,0,0,0,0.133744855967078,0.246153846153846,0.415384615384615,3
19007-Caldwell,241,45,143,188,215,42,124,166,1,0,0,0,1,0,0,0,1,0,1,1,23,3,18,21,0.186721991701245,0.593360995850622,0.892116182572614,0.195348837209302,0.576744186046512,0.004149377593361,0,0,0.004149377593361,0,0,0.004149377593361,0,1,0.0954356846473029,0.130434782608696,0.782608695652174,3
19007-Pleasant Franklin,426,84,211,295,370,70,185,255,0,0,0,0,6,1,2,3,1,0,0,0,49,13,24,37,0.197183098591549,0.495305164319249,0.868544600938967,0.189189189189189,0.5,0,0,0,0.0140845070422535,0.166666666666667,0.333333333333333,0.00234741784037559,0,0,0.115023474178404,0.26530612244898,0.489795918367347,3
19007-Johns Independence Lincoln,433,78,242,320,374,69,202,271,0,0,0,0,4,0,3,3,6,0,5,5,49,9,32,41,0.18013856812933,0.558891454965358,0.863741339491917,0.184491978609626,0.540106951871658,0,0,0,0.0092378752886836,0,0.75,0.0138568129330254,0,0.833333333333333,0.113163972286374,0.183673469387755,0.653061224489796,3
19007-Taylor Chariton,631,102,350,452,552,83,305,388,0,0,0,0,8,4,2,6,2,1,1,2,69,14,42,56,0.161648177496038,0.554675118858954,0.874801901743265,0.15036231884058,0.552536231884058,0,0,0,0.0126782884310618,0.5,0.25,0.00316957210776545,0.5,0.5,0.109350237717908,0.202898550724638,0.608695652173913,3
19007-Walnut,445,85,229,314,375,71,189,260,1,0,0,0,1,0,1,1,0,0,0,0,68,14,39,53,0.191011235955056,0.514606741573034,0.842696629213483,0.189333333333333,0.504,0.00224719101123596,0,0,0.00224719101123596,0,1,0,0,0,0.152808988764045,0.205882352941176,0.573529411764706,3
19007-Vermillion Douglas Sharon Bellair,950,172,547,719,806,142,474,616,0,0,0,0,9,3,4,7,2,0,2,2,133,27,67,94,0.181052631578947,0.575789473684211,0.848421052631579,0.176178660049628,0.588089330024814,0,0,0,0.00947368421052632,0.333333333333333,0.444444444444444,0.00210526315789474,0,1,0.14,0.203007518796992,0.503759398496241,3
19007-Centerville W1,862,197,424,621,749,162,373,535,0,0,0,0,12,3,6,9,8,3,3,6,93,29,42,71,0.228538283062645,0.491879350348028,0.868909512761021,0.216288384512684,0.497997329773031,0,0,0,0.0139211136890951,0.25,0.5,0.00928074245939675,0.375,0.375,0.107888631090487,0.311827956989247,0.451612903225806,3
